From,To,Beta
C8,C9,4.174785056711517
C9,C8,4.174785056711517
C4,C6,2.0320086653653435
C6,C4,2.0320086653653435
C1,C8,3.3261077406522053
C8,C1,3.3261077406522053
D0,S2,1.3046945431176218
S2,D0,1.3046945431176218
C7,S3,6.128423914565922
S3,C7,6.128423914565922
D0,C8,2.7159029102360615
C8,D0,2.7159029102360615
C1,C4,9.052900859207716
C4,C1,9.052900859207716
C6,S2,2.7301696574883865
S2,C6,2.7301696574883865
C9,S2,6.727895158205812
S2,C9,6.727895158205812
C3,C6,4.549945003136735
C6,C3,4.549945003136735
C2,C8,2.952658861699291
C8,C2,2.952658861699291
C6,C9,5.228769492633963
C9,C6,5.228769492633963
C4,C5,9.27634599576965
C5,C4,9.27634599576965
C1,C6,8.350889902447454
C6,C1,8.350889902447454
S1,S3,9.560232165379222
S3,S1,9.560232165379222
C2,C6,1.0111516988762617
C6,C2,1.0111516988762617
C10,S1,8.44721503156706
S1,C10,8.44721503156706
C3,C7,1.2293696590059648
C7,C3,1.2293696590059648
