From,To,Beta
D0,C5,40.0
C5,D0,40.0
C5,D1,40.0
D1,C5,40.0
D0,C3,40.0
C3,D0,40.0
C3,D1,40.0
D1,C3,40.0
D0,C8,40.0
C8,D0,40.0
C8,D1,40.0
D1,C8,40.0
D0,C1,40.0
C1,D0,40.0
D0,S1,40.0
S1,D0,40.0
C1,D1,40.0
D1,C1,40.0
S1,D1,40.0
D1,S1,40.0
D0,C4,40.0
C4,D0,40.0
C4,D1,40.0
D1,C4,40.0
D0,C7,40.0
C7,D0,40.0
C7,D1,40.0
D1,C7,40.0
D0,C6,40.0
C6,D0,40.0
C6,D1,40.0
D1,C6,40.0
D0,S2,40.0
S2,D0,40.0
S2,D1,40.0
D1,S2,40.0
D0,C2,40.0
C2,D0,40.0
C2,D1,40.0
D1,C2,40.0
C1,C7,40.0
C7,C1,40.0
C1,C6,40.0
C6,C1,40.0
C3,C7,40.0
C7,C3,40.0
C1,C8,40.0
C8,C1,40.0
C5,C7,40.0
C7,C5,40.0
C3,C6,40.0
C6,C3,40.0
