StringID,Type,x,y,demand,ReadyTime,DueDate,ServiceTime
D0,d,35.0,35.0,0.0,0.0,1000.0,0.0
S0,f,35.0,35.0,0.0,0.0,1000.0,0.0
S1,f,61.0,37.0,0.0,0.0,1000.0,0.0
S2,f,74.0,39.0,0.0,0.0,1000.0,0.0
S3,f,47.0,57.0,0.0,0.0,1000.0,0.0
S4,f,57.0,65.0,0.0,0.0,1000.0,0.0
C1,c,41.0,49.0,10.0,16.0,256.0,10.0
C2,c,35.0,17.0,7.0,0.0,972.0,10.0
C3,c,55.0,45.0,13.0,0.0,967.0,10.0
C4,c,55.0,20.0,19.0,672.0,912.0,10.0
C5,c,15.0,30.0,26.0,0.0,969.0,10.0
C6,c,25.0,30.0,3.0,0.0,978.0,10.0
C7,c,20.0,50.0,5.0,22.0,262.0,10.0
C8,c,10.0,43.0,9.0,0.0,963.0,10.0
C9,c,55.0,60.0,16.0,0.0,957.0,10.0
C10,c,30.0,60.0,16.0,0.0,964.0,10.0
