From,To,Beta
C7,C9,1.874698358291485
C9,C7,1.874698358291485
C7,S1,7.030898672742683
S1,C7,7.030898672742683
C1,C2,9.74364645683855
C2,C1,9.74364645683855
S2,S3,7.901706361620723
S3,S2,7.901706361620723
D0,C9,5.397349026552273
C9,D0,5.397349026552273
C1,S2,8.066369634310044
S2,C1,8.066369634310044
C5,S2,1.432243623026283
S2,C5,1.432243623026283
D0,C3,1.7942770244149542
C3,D0,1.7942770244149542
C1,C3,6.365628553679596
C3,C1,6.365628553679596
D0,C1,5.171548998298889
C1,D0,5.171548998298889
C4,C9,2.023918842480991
C9,C4,2.023918842480991
C3,S3,5.467338024967308
S3,C3,5.467338024967308
C5,C6,5.133014825699319
C6,C5,5.133014825699319
C9,S1,4.794331095927852
S1,C9,4.794331095927852
C6,C8,3.2106012687128795
C8,C6,3.2106012687128795
D0,C10,8.373572232085834
C10,D0,8.373572232085834
C1,S3,7.320386804467281
S3,C1,7.320386804467281
C3,C10,4.0652060423068725
C10,C3,4.0652060423068725
