From,To,Beta
C10,C11,40.0
C11,C10,40.0
C10,C12,40.0
C12,C10,40.0
C9,C11,40.0
C11,C9,40.0
C9,C12,40.0
C12,C9,40.0
C10,S4,40.0
S4,C10,40.0
C11,S2,40.0
S2,C11,40.0
C11,S1,40.0
S1,C11,40.0
C12,S2,40.0
S2,C12,40.0
C12,S1,40.0
S1,C12,40.0
C7,C11,40.0
C11,C7,40.0
C8,C11,40.0
C11,C8,40.0
C1,C10,40.0
C10,C1,40.0
C7,C12,40.0
C12,C7,40.0
C8,C12,40.0
C12,C8,40.0
C3,C10,40.0
C10,C3,40.0
C6,C11,40.0
C11,C6,40.0
C9,S4,40.0
S4,C9,40.0
C5,C10,40.0
C10,C5,40.0
C6,C12,40.0
C12,C6,40.0
C4,C11,40.0
C11,C4,40.0
C5,C11,40.0
C11,C5,40.0
C2,C11,40.0
C11,C2,40.0
C4,C12,40.0
C12,C4,40.0
C3,C11,40.0
C11,C3,40.0
C5,C12,40.0
C12,C5,40.0
C4,C10,40.0
C10,C4,40.0
D0,C11,40.0
C11,D0,40.0
C11,D1,40.0
D1,C11,40.0
C2,C12,40.0
C12,C2,40.0
C1,C9,40.0
C9,C1,40.0
D0,C12,40.0
C12,D0,40.0
C12,D1,40.0
D1,C12,40.0
C3,C12,40.0
C12,C3,40.0
C8,C10,40.0
C10,C8,40.0
C10,S3,40.0
S3,C10,40.0
C3,C9,40.0
C9,C3,40.0
C11,S3,40.0
S3,C11,40.0
C1,C11,40.0
C11,C1,40.0
C5,C9,40.0
C9,C5,40.0
C2,C10,40.0
C10,C2,40.0
D0,C10,40.0
C10,D0,40.0
C10,D1,40.0
D1,C10,40.0
C12,S3,40.0
S3,C12,40.0
D0,C5,40.0
C5,D0,40.0
C5,D1,40.0
D1,C5,40.0
C1,C12,40.0
C12,C1,40.0
D0,C3,40.0
C3,D0,40.0
C3,D1,40.0
D1,C3,40.0
C6,C10,40.0
C10,C6,40.0
C5,S3,40.0
S3,C5,40.0
D0,C8,40.0
C8,D0,40.0
C8,D1,40.0
D1,C8,40.0
C8,S3,40.0
S3,C8,40.0
D0,C1,40.0
C1,D0,40.0
C1,D1,40.0
D1,C1,40.0
C3,S3,40.0
S3,C3,40.0
C7,C10,40.0
C10,C7,40.0
C5,S1,40.0
S1,C5,40.0
C3,S1,40.0
S1,C3,40.0
C1,S1,40.0
S1,C1,40.0
C4,C9,40.0
C9,C4,40.0
